,sub_name,scr_selcode,scr_precnt,Encrypt_selcode
38,核心(一)海洋科技探索,4291,40,10RqXw73VpY=
39,核心(一)海洋文明發展,4292,25,kUqHdEe4go4=
40,核心(一)海洋文明發展,4293,40,GFZmLZQFBAM=
41,核心(一)海洋文明發展,4294,40,yqt6uXgOwmA=
42,核心(一)海洋文明發展,4295,40,h/hFL5IsnaU=
43,核心(一)海洋文明發展,4296,40,NltD0MJ2qlk=
44,核心(一)海洋文明發展,4297,40,XqlovjOlP9w=
45,核心(三)運算與程式設計,4298,40,Vg58565AADI=
46,核心(三)運算與程式設計,4299,40,/DVDdytN8nE=
47,核心(三)運算與程式設計,4300,40,M7LGJtrnhx0=
48,核心(三)運算與程式設計,4301,40,QrVwBjMMoI0=
49,核心(三)運算與程式設計,4302,40,QgpaEXv+l2I=
50,核心(二)生命與倫理,4303,30,8Pkh+m5ywjc=
51,核心(二)生命與倫理,4304,30,o7BtTs9YVUs=
52,核心(二)生命與倫理,4305,30,oMxduWj+R0c=
53,核心(二)生命與倫理,4306,30,5se+lBkHAVE=
54,核心(二)生命與倫理,4307,40,OQaeAZD+dMg=
55,核心(二)生命與倫理,4308,40,RHtGAbjYqDM=
56,核心(二)生命與倫理,4309,40,pk2VBRv5FvQ=
57,核心(二)生命與倫理,4310,30,KnDvVTDemek=
58,核心(二)生命與倫理,4311,40,FoVigoCzEdo=
59,核心(二)生命與倫理,4312,40,bETtVzRlLCc=
60,核心(二)生命與倫理,4313,30,3xNQJOHbQek=
61,博雅(社會)法律與生活,4444,40,KuHuYUhrPzQ=
62,博雅(社會)法律與生活,4445,40,CIrjUCw3iU0=
63,博雅(社會)法律與生活,4446,40,iHFFZSskzPg=
64,博雅(社會)法律與生活,4447,40,rtGtw3jwZlM=
65,博雅(社會)法律與生活,4448,30,fuZGYtpOzk0=
66,博雅(社會)法律與生活,4449,40,HsZPSS13yHo=
67,博雅(社會)媒體素養,4450,40,YOuBtZCR038=
68,博雅(社會)媒體素養,4451,40,ami2X2E5Yss=
69,博雅(社會)智慧財產權法,4452,50,ljB4jxkgcRw=
70,博雅(社會)廣告與創意生活,4453,40,JI3qMQeh93k=
71,博雅(社會)廣告與創意生活,4454,30,nAy9qnS/mXw=
72,博雅(社會)運動休閒與健康,4455,40,dg7yCTRTywA=
73,博雅(社會)運動休閒與健康,4456,40,6WRY36WPHO8=
74,博雅(科技)現今科技議題,4457,40,1EkjXsY7YM0=
75,博雅(科技)環境資源與保育,4458,30,v8OcamTdtq4=
76,博雅(人文)音樂賞析,4459,40,G5EFax8hKqI=
77,博雅(人文)音樂賞析,4460,40,AvguOVifO7I=
78,博雅(人文)音樂賞析,4461,40,+KXFbWGW/nA=
79,博雅(人文)讀劇與演劇,4462,30,GPpiiQM1HB8=
80,博雅(社會)婚姻與家庭,4463,30,JjhrfxfhT+s=
81,博雅(人文)影像理論與實作,4464,40,FQV1lQU1YAk=
82,博雅(人文)影像理論與實作,4465,40,1JbMH5YUSkQ=
83,博雅(歷史)世界遺產導覽,4466,30,rpsh/Ohptf4=
84,博雅(歷史)世界遺產導覽,4467,40,ee/WBLrZVkw=
85,博雅(歷史)南臺灣歷史與文化,4468,30,/ixAmCjmwus=
86,博雅(歷史)南臺灣歷史與文化,4469,40,/WYrdGYrTGs=
87,博雅(歷史)南臺灣歷史與文化,4470,40,L/KaHnUVHI8=
88,博雅(人文)環境美感與實踐,4471,30,cPr5gRdRtMI=
89,博雅(科技)智慧物聯網程式設計實作,4472,40,0+We3dp0Vu4=
90,博雅(科技)商務網站程式設計實作,4473,40,d9DNoCIddwM=
91,博雅(科技)科學行銷概論,4474,30,Yyo/khji87E=
92,博雅(科技)科技農業概論,4475,30,sJiuq2hP4DA=
93,博雅(歷史)中國文明發展史,4476,40,i5oeGRqeLX0=
94,博雅(科技)智慧行動裝置程式設計實作,4477,40,CwM1F5D+wGI=
95,博雅(人文)繪畫藝術與實踐,4478,30,E4J3BQiro7M=
96,博雅(人文)華語流行歌詞欣賞與寫作,4479,40,laM2mhNwR/8=
97,博雅(人文)創意故事影響力,4480,30,cknxG1bmD6k=
98,博雅(人文)創意美感,4481,30,crognsi/otM=
99,博雅(人文)藝術與美感探索,4482,30,AyOjk7yW8vI=
100,博雅(人文)藝術與美感探索,4483,40,wB0Xj95wE5M=
101,博雅(人文)設計思考,4484,30,q+H6qi1UK40=
102,博雅(人文)設計思考,4485,30,2X1a5BwkKS8=
103,博雅(人文)世界音樂與多元文化,4486,40,OkSV4Fwnhus=
104,博雅(科技)健康促進與生活實踐,4487,40,kVKJIi9a25M=
105,博雅(科技)飲食安全與保健,4488,40,hD8wkSAc7Dc=
106,博雅(科技)飲食安全與保健,4489,40,23HQ7oityGg=
107,博雅(科技)飲食安全與保健,4490,40,DHFgZNgRFCs=
108,博雅(科技)永續發展導論,4491,40,LVwHHV26UEA=
109,博雅(科技)永續發展導論,4492,40,FLLTzRoG18s=
110,博雅(科技)能源與生活,4493,40,fZ6HZdWEqBc=
111,博雅(科技)能源與生活,4494,40,pFfLHb+YVjg=
112,博雅(社會)性別、文化與社會,4495,40,sdycIUnpJL4=
113,博雅(社會)性別、文化與社會,4496,30,4++1oQ+pX+0=
114,博雅(社會)性別、文化與社會,4497,30,P3zAnGo3fCc=
115,博雅(社會)性別、文化與社會,4498,40,tD4Fniv8iuc=
116,博雅(社會)投資理財規劃,4499,40,UGyX+A2ymO0=
117,博雅(社會)情緒管理與壓力調適,4500,50,Z1H9krzIN3s=
118,博雅(社會)情緒管理與壓力調適,4501,40,9khcCMva5l4=
119,博雅(社會)溝通與表達,4502,30,o7uWW3pZ2hY=
120,博雅(社會)溝通與表達,4503,40,DnGyXzmZj/Q=
121,博雅(社會)溝通與表達,4504,40,e4gWqvdAMi4=
122,博雅(社會)溝通與表達,4505,40,ItTaf5bxev0=
123,博雅(社會)溝通與表達,4506,40,uKMI5wsCW1Y=
124,博雅(社會)溝通與表達,4507,40,FbeE+nMb+L8=
125,博雅(社會)溝通與表達,4508,40,cSEo+IYo0CE=
126,博雅(社會)溝通與表達,4509,40,xo5MLbYx7sA=
127,博雅(社會)溝通與表達,4510,40,KQSpqSSc+qo=
128,博雅(社會)溝通與表達,4511,50,V072jiNS9QI=
129,博雅(社會)溝通與表達,4512,40,hdm+D6FLzW4=
130,博雅(社會)溝通與表達,4513,40,tVxb5GQz65o=
131,博雅(社會)溝通與表達,4514,40,bg4lzo2Lj6k=
132,博雅(社會)科技與社會,4515,40,JgSTIbCYL2E=
133,博雅(社會)科技與社會,4516,40,K5aKHd893MU=
134,博雅(社會)科技與社會,4517,30,e7bu9hCkL4w=
135,博雅(社會)科技與社會,4518,30,oAimFq1O++w=
136,博雅(社會)科技與社會,4519,40,StALF9YM53o=
137,博雅(社會)生涯規劃,4520,40,k+MnynCy03Q=
138,博雅(歷史)台灣社會與文化,4521,40,6gM3JufBV+8=
139,博雅(歷史)台灣社會與文化,4522,40,mxbhpze3ja0=
140,博雅(全球)世界風情,4523,40,2C4Ni/WKhLY=
141,博雅(全球)世界風情,4524,40,3sCLsiPfKCk=
142,博雅(全球)世界風情,4525,40,/c/XAi8rmpU=
143,博雅(全球)全球化與兩岸關係,4526,40,qNBVysgdBk4=
144,博雅(全球)東南亞文化與社會,4527,30,6bLUGmLwcPQ=
145,博雅(全球)東南亞文化與社會,4528,40,UcPnJNIjdwM=
146,博雅(全球)東南亞文化與社會,4529,40,KTJY499rios=
147,博雅(全球)服務創新,4530,40,9vYrJ8NTs0k=
148,博雅(全球)服務創新,4531,40,s08VTmpVj7k=
149,博雅(全球)服務創新,4532,40,GbNomzfmDbE=
150,博雅(全球)服務創新,4533,40,X0ZdwMgMm60=
151,博雅(全球)服務創新,4534,40,VqxDTgr3szE=
152,博雅(全球)服務創新,4535,40,erTQ8RnOguI=
153,博雅(全球)服務創新,4536,40,UapVgx44itY=
154,博雅(全球)服務創新,4537,40,xWDXrF+J/2E=
155,博雅(全球)服務創新,4538,40,oqIVXLP1OiU=
156,博雅(全球)服務創新,4539,30,CyO71nGCQxM=
157,博雅(全球)服務創新,4540,40,TZ5PoU8OXPQ=
158,博雅(歷史)台灣古蹟與歷史,4541,30,IAR9K5NejkM=
159,博雅(社會)人權與弱勢關懷,4542,40,vvv1LuQSDig=
160,博雅(社會)社區長照關懷,4543,30,40u70DtoHAU=
161,博雅(歷史)邏輯思維,4544,40,AwHeR0l7MO4=
162,博雅(科技)多媒體科技概論,4546,40,O/gsVn4/ckc=
163,博雅(科技)多媒體科技概論,4547,40,Pt7mmXxFXWY=
164,博雅(科技)多媒體科技概論,4548,50,jSa+FooVWIc=
165,博雅(科技)科技史,4549,30,UfDdNUJmuQ8=
166,博雅(科技)光電科技概論,4550,50,DwhjZm+cSSw=
167,博雅(人文)戲劇賞析,4551,30,Zo865Twp3Gc=
168,博雅(歷史)哲學基本問題,4552,40,pxG+KeIBSrA=
169,博雅(歷史)哲學基本問題,4553,40,g2cRhU4iHaA=
170,博雅(歷史)哲學基本問題,4554,40,64GdJY5J0xk=
171,博雅(歷史)應用倫理學-工程倫理,4555,30,OT4Pt1f/d8A=
172,博雅(歷史)應用倫理學-工程倫理,4556,30,NU20i4tGccw=
